MATRIX_ROWS,MATRIX_COLS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128
1000,1000,3.335629,1.670479,1.116661,0.837109,0.674885,0.563360,0.481826,0.421311,0.376610,0.338635,0.307929,0.284087,0.264235,0.245714,0.230961,0.218731,0.206052,0.195736,0.186023,0.177270,0.169300,0.163659,0.156969,0.149963,0.144741,0.140225,0.136372,0.132346,0.127356,0.123849,0.120453,0.115664,0.113681,0.112182,0.107206,0.105692,0.103467,0.100483,0.098598,0.096626,0.093611,0.093094,0.093017,0.090522,0.088526,0.088580,0.084760,0.085048,0.086303,0.102032,0.083782,0.083327,0.080662,0.079531,0.079024,0.077143,0.076933,0.078279,0.073636,0.073596,0.091640,0.072960,0.071686,0.072801,0.070733,0.070253,0.071897,0.068039,0.069507,0.068802,0.070487,0.065829,0.071342,0.067686,0.068889,0.083294,0.071009,0.069428,0.067928,0.067904,0.067978,0.066153,0.066192,0.065179,0.065408,0.066395,0.066256,0.064999,0.066127,0.067430,0.067875,0.064534,0.065677,0.062962,0.062407,0.064781,0.062795,0.062010,0.063346,0.061032,0.062808,0.060454,0.068753,0.079857,0.403522,0.061987,0.064231,0.061079,0.058445,0.064091,0.061410,0.061254,0.061670,0.063059,0.148120,0.061799,0.062841,0.065016,0.076742,0.102772,0.063077,0.062418,0.063511,0.060990,0.070914,0.535524,0.103790,0.694693
1500,1500,15.648828,5.659406,3.765777,2.830010,2.270683,1.903840,1.634712,1.427858,1.270012,1.148081,1.045151,0.959970,0.890055,0.829128,0.773304,0.731583,0.689173,0.653491,0.619144,0.591335,0.568459,0.542092,0.517764,0.500288,0.483833,0.462851,0.447004,0.433247,0.418783,0.402859,0.396625,0.381875,0.372648,0.361299,0.352519,0.344099,0.339907,0.328766,0.321051,0.315406,0.308242,0.298862,0.293830,0.288107,0.282961,0.285211,0.276111,0.274546,0.270324,0.260147,0.255032,0.252970,0.248912,0.243191,0.241467,0.234633,0.236301,0.227082,0.232279,0.223610,0.222444,0.226180,0.214838,0.215752,0.217462,0.209286,0.208277,0.212446,0.204946,0.207305,0.207175,0.199499,0.203339,0.199664,0.197402,0.197691,0.195738,0.195007,0.192976,0.193318,0.190246,0.190796,0.192660,0.188854,0.186905,0.187368,0.186346,0.184800,0.183790,0.186214,0.187548,0.182096,0.183971,0.181597,0.174520,0.176486,0.181199,0.184008,0.178230,0.178484,0.178537,0.176299,0.177003,0.212637,0.229057,0.175286,0.168457,0.165558,0.167254,0.210681,0.174873,0.178126,0.172939,0.178214,0.171794,0.177149,0.231900,0.820537,2.159917,4.442159,0.159772,0.159634,0.157249,1.060258,1.140418,0.816197,0.707227,0.158063
2000,2000,56.694962,15.922486,8.938689,6.689424,5.365217,4.473696,3.834516,3.357900,2.997826,2.691552,2.453290,2.249755,2.082668,1.934115,1.817430,1.697489,1.607473,1.521069,1.446125,1.373452,1.317915,1.258832,1.204720,1.163053,1.113559,1.075430,1.038736,1.008551,0.974544,0.949065,0.922638,0.894061,0.869586,0.842820,0.827364,0.820577,0.790413,0.766113,0.751266,0.727775,0.714414,0.718112,0.692648,0.671151,0.657635,0.647361,0.640283,0.630429,0.616581,0.605168,0.594634,0.607539,0.596031,0.576814,0.571994,0.577148,0.601038,0.577436,0.564278,0.540131,0.523604,0.531592,0.539764,0.536164,0.530557,0.520597,0.512219,0.511403,0.475599,0.487119,0.486639,0.484390,0.467086,0.473430,0.458117,0.453998,0.443553,0.442165,0.445075,0.432126,0.435267,0.435328,0.431166,0.419776,0.416956,0.415844,0.403165,0.405482,0.403366,0.402423,0.396202,0.392697,0.390622,0.389555,0.391460,0.378785,0.382374,0.377278,0.377689,0.370804,0.368038,0.362132,0.367605,0.394643,0.376009,0.377251,0.354155,0.358352,0.350320,0.370668,0.379881,0.504795,0.343587,0.369749,0.353534,0.388959,0.346280,0.358720,0.332493,0.377929,0.345459,0.357781,0.381738,0.348758,0.343402,0.348639,0.352808,0.409932
2500,2500,103.520141,90.502711,33.581304,13.341416,10.542065,8.824343,7.496061,6.589020,5.894327,5.261535,4.798076,4.404596,4.098318,3.773869,3.525775,3.310250,3.146280,2.990677,2.801489,2.660056,2.565779,2.509948,2.441025,2.282809,2.168538,2.190226,2.063449,1.970061,1.975945,1.854702,1.889903,1.757821,1.671081,1.622347,1.585669,1.543098,1.514052,1.463783,1.431604,1.398056,1.363323,1.338521,1.307743,1.280953,1.251840,1.227100,1.203899,1.190446,1.168223,1.161925,1.176205,1.207278,1.129285,1.075153,1.090452,1.058071,1.028790,1.034814,1.046304,1.031507,1.000279,1.018496,0.988608,1.008976,0.978246,0.968003,0.971303,0.940775,0.951493,0.930032,0.927604,0.907335,0.908247,0.882102,0.880452,0.865668,0.856374,0.850022,0.841623,0.840520,0.811043,0.809225,0.811640,0.813964,0.776365,0.771030,0.743361,0.723489,0.737347,0.727148,0.735801,0.729716,0.714641,0.717837,0.716741,0.707383,0.690659,0.691480,0.687630,0.678556,0.677825,0.674992,0.675330,0.667604,0.656065,0.652993,0.648822,0.665052,0.642458,0.649237,0.634365,0.630517,0.654721,0.651871,0.650980,0.631770,0.620500,0.607888,0.611053,0.629142,0.616717,1.281829,1.418806,0.592681,0.584212,0.588452,0.624902,1.094678
3000,3000,153.219466,97.956150,68.815176,43.339209,18.596771,15.187594,13.028264,11.331752,10.083347,9.059589,8.257581,7.566007,6.994237,6.513090,6.076699,5.707237,5.369043,5.078564,4.838962,4.586126,4.393517,4.208297,4.005641,3.835351,3.684077,3.558016,3.426399,3.320909,3.253149,3.121458,3.016936,2.926389,2.842552,2.798941,2.734869,2.639178,2.672684,2.669268,2.589438,2.595271,2.505519,2.455920,2.379896,2.361738,2.357306,2.283860,2.254909,2.209360,2.163452,2.136341,2.113057,1.947732,2.013457,1.979361,1.940029,1.762906,1.816042,1.713111,1.746938,1.834639,1.794515,1.755361,1.754509,1.654977,1.682512,1.530689,1.583061,1.540906,1.578722,1.531358,1.528804,1.430887,1.401489,1.385422,1.365470,1.348611,1.326788,1.325606,1.308614,1.294019,1.290933,1.287945,1.274249,1.248106,1.257729,1.247228,1.238517,1.214169,1.204356,1.214262,1.200179,1.204368,1.213859,1.192075,1.180977,1.170292,1.152561,1.146837,1.143228,1.125745,1.118460,1.120355,1.113664,1.106331,1.102062,1.103793,1.089190,1.075774,1.330734,1.068888,1.054937,1.066213,1.054912,1.052805,1.051991,1.040989,1.037939,1.039581,1.043124,1.010059,1.022342,1.008356,1.011613,1.001692,1.003309,1.026882,0.984479,0.988920
3500,3500,286.988745,191.176860,168.281584,128.509569,90.144336,37.499979,20.952130,18.143157,16.039667,14.445718,13.187141,12.047937,11.179556,10.336450,9.670182,9.049387,8.512698,8.066066,7.642854,7.260440,6.935505,6.621567,6.356424,6.086640,5.850259,5.634838,5.438552,5.265030,5.098794,4.940541,4.779678,4.735737,4.538826,4.395757,4.289783,4.157967,4.046142,3.933668,3.845638,3.755064,3.683448,3.587294,3.529085,3.429959,3.367923,3.290972,3.224922,3.153056,3.130697,3.032593,2.986582,2.945150,2.882724,2.829371,2.792772,2.750802,2.732365,2.677942,2.625436,2.586389,2.547034,2.506631,2.464283,2.427366,2.383078,2.363921,2.345778,2.318701,2.297020,2.244667,2.233696,2.195115,2.187949,2.172118,2.134102,2.119988,2.100542,2.063818,2.086742,2.081709,2.029210,2.011970,1.994827,1.967031,1.956835,1.951249,1.935303,1.914996,1.900826,1.890815,1.899111,1.877416,1.883821,1.868845,1.825902,1.822928,1.813365,1.787316,1.802408,1.768857,1.755343,1.765938,1.733400,1.726540,1.723138,1.707872,1.697568,1.697329,1.677080,1.663174,1.655916,1.667444,1.633654,1.635969,1.625801,1.623061,1.591882,1.596748,1.583158,1.588567,1.564648,1.569007,1.573111,1.592032,1.552086,1.531280,1.542066,1.554521
4000,4000,400.002407,211.777325,145.571128,121.364107,100.161831,81.733201,67.859537,40.129475,25.377526,21.933222,20.105900,18.340224,16.937917,15.680723,14.605749,13.749562,12.955172,12.253394,11.596622,11.025701,10.503305,10.377842,9.596965,9.201143,8.851890,8.520289,8.220070,7.938623,7.654920,7.453029,7.231618,7.030157,6.811743,6.607923,6.516002,6.274191,6.090340,5.938343,5.797809,5.640675,5.542295,5.435347,5.283507,5.159120,5.057640,4.948134,4.897418,4.759392,4.682206,4.596663,4.506815,4.417691,4.382163,4.271448,4.217282,4.230833,4.081686,3.982041,3.923750,3.867524,3.832761,3.777157,3.723721,3.696497,3.698885,3.682508,3.566855,3.499744,3.460542,3.467625,3.459902,3.361460,3.312719,3.299675,3.285568,3.265069,3.245700,3.205310,3.199322,3.209669,3.171069,3.089067,3.071442,3.052206,3.065269,3.059955,2.972726,2.973165,2.909571,2.871060,2.853522,2.864232,2.906204,2.786595,2.767778,2.765425,2.741590,2.722152,2.741773,2.667619,2.682781,2.670338,2.656897,2.635510,2.609163,2.670295,2.578144,2.556666,2.617925,2.538082,2.525759,2.503286,2.498796,3.515500,3.683594,2.606934,2.437428,2.476017,2.389364,2.432723,2.396352,2.394578,2.509283,2.522782,2.648382,2.546761,2.569210,4.019488
