MATRIX_ROWS,MATRIX_COLS,1
1000,1000,0.298974
1500,1500,0.215745
2000,2000,0.19693
2500,2500,0.161791
3000,3000,0.194701
3500,3500,0.17465
4000,4000,0.240272
