MATRIX_ROWS,MATRIX_COLS,1
1000,1000,3.257917
1500,1500,11.123956
2000,2000,26.262801
2500,2500,51.343369
3000,3000,88.816218
3500,3500,141.80453
4000,4000,210.583092
