MATRIX_ROWS,MATRIX_COLS,1
1000,1000,0.306945
1500,1500,0.303399
2000,2000,0.304613
2500,2500,0.304324
3000,3000,0.303999
3500,3500,0.302353
4000,4000,0.303918
